"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dh_e.pdf","http://media.digikey.com/Photos/Elna%20America%20Photos/DH13%20SERIES.JPG","604-1008-ND","DH-5R5D473T","Elna America","CAP 47MF -20% +80% 5.5V T/H",8370,0,"2.53000",0,1,"Bulk","DH","47mF","-20%, +80%","5.5V","300 Ohm","1000 Hrs @ 85°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.374"" (9.50mm)","-25°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dx_e.pdf","http://media.digikey.com/Photos/Elna%20America%20Photos/DXH%20SERIES.JPG","604-1023-ND","DX-5R5H224U","Elna America","CAP 220MF -20% +80% 5.5V T/H",1663,0,"2.02000",0,1,"Bulk","DX","220mF","-20%, +80%","5.5V","75 Ohm","1000 Hrs @ 70°C","-","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.217"" (5.50mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dx_e.pdf","http://media.digikey.com/Photos/Elna%20America%20Photos/DXH%20SERIES.JPG","604-1024-ND","DX-5R5H334U","Elna America","CAP 330MF -20% +80% 5.5V T/H",4573,0,"2.02000",0,1,"Bulk","DX","330mF","-20%, +80%","5.5V","75 Ohm","1000 Hrs @ 70°C","-","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.197"" (5.00mm)","-25°C ~ 70°C"
"http://www.kemet.com/docfinder?Partnumber=FE0H155ZF","http://media.digikey.com/Photos/Kemet%20Photos/FE0H155ZF.JPG","399-10813-ND","FE0H155ZF","Kemet","CAP 1.5F -20% +80% 5.5V T/H",147,0,"18.91000",0,1,"Bulk","FE","1.5F","-20%, +80%","5.5V","600 mOhm @ 1kHz","-","-","Through Hole","Radial, Can","0.787"" (20.00mm)","1.752"" Dia (44.50mm)","0.728"" (18.50mm)","-40°C ~ 70°C"
"http://www.avx.com/docs/catalogs/bestcap.pdf","http://media.digikey.com/photos/AVX%20Photos/BZ01CA223ZSB.jpg","478-6261-ND","BZ015A503ZLB","AVX Corporation","CAP 50MF -20% +80% 5.5V SMD",319,0,"11.00000",0,1,"Bulk","BestCap® BZ","50mF","-20%, +80%","5.5V","160 mOhm","1000 Hrs @ 70°C","-","Surface Mount","BZ01, 3 Lead","-","1.102"" L x 0.669"" W (28.00mm x 17.00mm)","0.138"" (3.50mm)","-20°C ~ 70°C"
"http://www.cde.com/resources/catalogs/EDL.pdf","http://media.digikey.com/Photos/Cornell%20Dubilier%20Photos/EDLF105B5R5C.JPG","338-3560-ND","EDLF105B5R5C","Cornell Dubilier Electronics (CDE)","CAP 1F 5.5V THROUGH HOLE",548,0,"6.44000",0,1,"Bulk","F","1F","-","5.5V","50 Ohm @ 1kHz","1000 Hrs @ 85°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.846"" Dia (21.50mm)","0.374"" (9.50mm)","-25°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dvl_e.pdf","http://media.digikey.com/Photos/Elna%20America%20Photos/DVL%20SERIES.JPG","604-1162-6-ND","DVL-5R5D224T-R5","Elna America","CAP 220MF 5.5V SURFACE MOUNT",975,0,"Calculate",0,1,"Digi-Reel®","DVL","220mF","-20%, +80%","5.5V","45 Ohm","1000 Hrs @ 85°C","-","Surface Mount","Radial, Can - SMD","-","0.492"" Dia (12.50mm)","0.413"" (10.50mm)","-40°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dvl_e.pdf","http://media.digikey.com/Photos/Elna%20America%20Photos/DVL%20SERIES.JPG","604-1162-1-ND","DVL-5R5D224T-R5","Elna America","CAP 220MF 5.5V SURFACE MOUNT",975,0,"11.08000",0,1,"Cut Tape (CT)","DVL","220mF","-20%, +80%","5.5V","45 Ohm","1000 Hrs @ 85°C","-","Surface Mount","Radial, Can - SMD","-","0.492"" Dia (12.50mm)","0.413"" (10.50mm)","-40°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dvl_e.pdf","http://media.digikey.com/Photos/Elna%20America%20Photos/DVL%20SERIES.JPG","604-1162-2-ND","DVL-5R5D224T-R5","Elna America","CAP 220MF 5.5V SURFACE MOUNT",750,0,"5.18332",0,250,"Tape & Reel (TR)","DVL","220mF","-20%, +80%","5.5V","45 Ohm","1000 Hrs @ 85°C","-","Surface Mount","Radial, Can - SMD","-","0.492"" Dia (12.50mm)","0.413"" (10.50mm)","-40°C ~ 85°C"
"http://www.cde.com/resources/catalogs/EDL.pdf","http://media.digikey.com/Photos/Cornell%20Dubilier%20Photos/EDLSGxxxV5R5C.jpg","338-3571-ND","EDLSG155V5R5C","Cornell Dubilier Electronics (CDE)","CAP 1.5F 5.5V THROUGH HOLE",491,0,"4.40000",0,1,"Bulk","SG","1.5F","-","5.5V","30 Ohm @ 1kHz","1000 Hrs @ 85°C","-","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.748"" Dia (19.00mm)","0.827"" (21.00mm)","-25°C ~ 70°C"
